x,y,z,yaw,velocity,change_flag
-39.2388,95.5978,-2.0053,-2.7201,10,0
-40.4021,95.0908,-2.0037,-2.7206,10,0
-41.4868,94.5725,-2.0015,-2.7203,10,0
-42.6171,94.0579,-2.0028,-2.7203,10,0
-43.7465,93.5499,-2.0023,-2.7196,10,0
-44.9018,93.053,-1.9989,-2.7202,10,0
-46.0149,92.5442,-1.9998,-2.7199,10,0
-47.1515,92.0268,-1.9989,-2.7199,10,0
-48.318,91.5262,-2.0016,-2.7201,10,0
-49.4146,91.018,-1.9999,-2.72,10,0
-50.5409,90.4946,-1.9988,-2.72,10,0
-51.6896,89.9827,-1.9975,-2.7206,10,0
-52.8071,89.4999,-2.0037,-2.7197,10,0
-53.9634,88.9966,-2.0019,-2.7181,10,0
-55.0581,88.4741,-2.0017,-2.7172,10,0
-56.2289,87.9443,-1.9977,-2.7172,10,0
-57.3538,87.4492,-2.0037,-2.7163,10,0
-58.4754,86.9223,-2.001,-2.7167,10,0
-59.6043,86.4217,-2.0028,-2.7169,10,0
-60.7636,85.9086,-2.0015,-2.7132,10,0
-61.9326,85.3737,-1.9966,-2.7034,10,0
-63.1119,84.8002,-1.9996,-2.6924,10,0
-64.2948,84.2201,-2.0017,-2.6734,10,0
-65.4568,83.604,-2.0007,-2.6348,10,0
-66.5684,82.9221,-1.998,-2.5938,10,0
-67.7063,82.1794,-1.9998,-2.554,10,0
-68.8253,81.3931,-1.9977,-2.522,10,0
-69.9245,80.5499,-1.9974,-2.483,10,0
-70.9609,79.6768,-1.995,-2.4403,10,0
-71.9939,78.7436,-1.991,-2.3923,10,0
-73.0253,77.7356,-1.9924,-2.3432,10,0
-73.9775,76.6709,-1.9934,-2.2924,10,0
-74.8851,75.5769,-1.9953,-2.2439,10,0
-75.7861,74.4323,-1.984,-2.1903,10,0
-76.5856,73.2089,-1.9854,-2.1401,10,0
-77.3274,71.9301,-2.0049,-2.0857,10,0
-78.0536,70.5999,-2.001,-2.0437,10,0
-78.5177,69.6684,-2.009,-2.0136,10,0
-78.946,68.6993,-2.0035,-1.9904,10,0
-79.372,67.7183,-2.0002,-1.9689,10,0
-79.783,66.722,-1.9929,-1.947,10,0
-80.1576,65.7236,-1.9941,-1.9272,10,0
-80.5019,64.7154,-1.9943,-1.9017,10,0
-80.826,63.6954,-1.9956,-1.8744,10,0
-81.1346,62.6813,-1.994,-1.8512,10,0
-81.4095,61.6495,-1.9923,-1.8302,10,0
-81.6573,60.5972,-1.9968,-1.8076,10,0
-81.9413,59.4928,-1.9959,-1.7887,10,0
-82.1807,58.3845,-1.993,-1.7767,10,0
-82.396,57.2321,-1.991,-1.764,10,0
-82.6188,56.1054,-1.9941,-1.7502,10,0
-82.81,54.989,-1.9954,-1.7369,10,0
-82.9916,53.8475,-1.9955,-1.7276,10,0
-83.1668,52.6876,-1.991,-1.7186,10,0
-83.3406,51.5653,-1.9935,-1.7118,10,0
-83.4834,50.4164,-1.9966,-1.7066,10,0
-83.6564,49.2806,-1.9945,-1.7026,10,0
-83.7955,48.1248,-1.9931,-1.6981,10,0
-83.9524,46.9758,-1.9952,-1.6928,10,0
-84.0954,45.8434,-1.9935,-1.6873,10,0
-84.2151,44.6858,-1.9927,-1.6807,10,0
-84.3168,43.5504,-1.9926,-1.6702,10,0
-84.4317,42.3861,-1.9918,-1.6561,10,0
-84.5349,41.2369,-1.9943,-1.6384,10,0
-84.5764,40.0738,-1.992,-1.6185,10,0
-84.6431,38.9213,-1.9944,-1.5985,10,0
-84.678,37.749,-1.9892,-1.5829,10,0
-84.6729,36.5855,-1.9916,-1.5721,10,0
-84.6582,35.4089,-1.9925,-1.5651,10,0
-84.6435,34.2269,-1.9926,-1.56,10,0
-84.6299,33.0523,-1.9925,-1.5568,10,0
-84.6238,31.876,-1.992,-1.5542,10,0
-84.6079,30.704,-1.9944,-1.5528,10,0
-84.5743,29.5236,-1.9897,-1.5513,10,0
-84.5472,28.3689,-1.9905,-1.5506,10,0
-84.5244,27.1816,-1.9905,-1.55,10,0
-84.5088,26.009,-1.9926,-1.5494,10,0
-84.4818,24.8246,-1.9945,-1.5486,10,0
-84.4539,23.6656,-1.9943,-1.5485,10,0
-84.4387,22.4928,-1.9878,-1.5482,10,0
